height,length,speed,strip,target_deltatime,deltatime_with_pitch,deltatime_without_pitch,error_with_pitch,error_without_pitch,horizontal_resolution,vertical_resolution
200,756,300,1,477383,2380024,1230932,318,244,399.0,107.0
200,756,300,2,477383,2386264,1230884,319,244,399.0,107.0
200,756,300,3,477383,2388776,1219732,319,242,399.0,107.0
200,756,330,0,434612,2386940,1216160,326,256,399.0,107.0
200,756,330,1,434612,2379120,1216512,326,256,399.0,107.0
200,756,330,2,434612,2379148,1229076,326,257,399.0,107.0
200,756,330,3,434612,2378288,1223132,326,257,399.0,107.0
300,322,150,0,2710394,2362328,1212432,-20,-174,141.0,45.0
300,322,150,1,2710394,2356700,1208540,-21,-175,141.0,45.0
300,322,150,2,2710394,2361000,1205636,-20,-175,141.0,45.0
300,322,150,3,2710394,2365800,1206980,-20,-175,141.0,45.0
300,322,180,0,2251491,2363200,1208920,6,-121,141.0,45.0
300,322,180,1,2251491,2358740,1206500,6,-122,141.0,45.0
300,322,180,2,2251491,2362636,1207292,6,-121,141.0,45.0
300,322,180,3,2251491,2365996,1203196,6,-122,141.0,45.0
300,322,210,0,1934235,2365840,1201000,25,-86,141.0,45.0
300,322,210,1,1934235,2371232,1208456,25,-84,141.0,45.0
300,322,210,2,1934235,2363524,1201012,25,-86,141.0,45.0
300,322,210,3,1934235,2363908,1202260,25,-85,141.0,45.0
300,322,240,0,1688618,2377472,1201364,40,-57,141.0,45.0
300,322,240,1,1688618,2367996,1203248,40,-56,141.0,45.0
300,322,240,2,1688618,2364912,1200944,40,-57,141.0,45.0
300,322,240,3,1688618,2363384,1208000,40,-56,141.0,45.0
300,322,270,0,1503646,2365004,1209228,51,-34,141.0,45.0
300,322,270,1,1503646,2364296,1200992,51,-35,141.0,45.0
300,322,270,2,1503646,2363420,1215732,51,-33,141.0,45.0
300,322,270,3,1503646,2364424,1201088,51,-35,141.0,45.0
300,322,300,0,1350894,2364908,1211984,60,-16,141.0,45.0
300,322,300,1,1350894,2363356,1207864,60,-16,141.0,45.0
300,322,300,2,1350894,2364100,1208456,60,-16,141.0,45.0
300,322,300,3,1350894,2364320,1201132,60,-17,141.0,45.0
300,322,330,0,1229861,2364448,1208400,67,-2,141.0,45.0
300,322,330,1,1229861,2367756,1202492,67,-3,141.0,45.0
300,322,330,2,1229861,2366388,1207652,67,-2,141.0,45.0
300,322,330,3,1229861,2360912,1201464,67,-3,141.0,45.0
300,434,150,0,1745048,2364852,1204916,57,-98,219.0,61.0
300,434,150,1,1745048,2366096,1211768,57,-96,219.0,61.0
300,434,150,2,1745048,2376120,1204928,58,-98,219.0,61.0
300,434,150,3,1745048,2367788,1213008,57,-96,219.0,61.0
300,434,180,0,1449590,2360392,1212152,84,-42,219.0,61.0
300,434,180,1,1449590,2362336,1204888,84,-44,219.0,61.0
300,434,180,2,1449590,2362012,1204840,84,-44,219.0,61.0
300,434,180,3,1449590,2367668,1205656,84,-44,219.0,61.0
300,434,210,0,1245330,2360452,1212644,103,-5,219.0,61.0
300,434,210,1,1245330,2368804,1204924,103,-7,219.0,61.0
300,434,210,2,1245330,2365252,1208836,103,-6,219.0,61.0
300,434,210,3,1245330,2382860,1205468,104,-7,219.0,61.0
300,434,240,0,1087192,2368152,1204868,118,21,219.0,61.0
300,434,240,1,1087192,2365968,1206164,118,21,219.0,61.0
300,434,240,2,1087192,2365272,1204940,118,21,219.0,61.0
300,434,240,3,1087192,2363228,1211568,118,22,219.0,61.0
300,434,270,0,968101,2362508,1204732,129,43,219.0,61.0
300,434,270,1,968101,2363220,1204704,129,43,219.0,61.0
300,434,270,2,968101,2367540,1212248,129,44,219.0,61.0
300,434,270,3,968101,2367612,1216736,129,44,219.0,61.0
300,434,300,0,869754,2360488,1204960,138,60,219.0,61.0
300,434,300,1,869754,2363080,1207640,138,61,219.0,61.0
300,434,300,2,869754,2368700,1205032,138,60,219.0,61.0
300,434,300,3,869754,2364428,1212400,138,61,219.0,61.0
300,434,330,0,791828,2368472,1211988,145,75,219.0,61.0
300,434,330,1,791828,2364216,1211600,145,75,219.0,61.0
300,434,330,2,791828,2367528,1205388,145,75,219.0,61.0
300,434,330,3,791828,2363476,1204892,145,75,219.0,61.0
300,539,150,0,1384657,2370900,1210576,114,-39,276.0,76.0
300,539,150,1,1384657,2378548,1212428,115,-39,276.0,76.0
300,539,150,2,1384657,2386728,1214688,115,-38,276.0,76.0
300,539,150,3,1384657,2378756,1216312,115,-38,276.0,76.0
300,539,180,0,1150218,2386636,1208596,142,13,276.0,76.0
300,539,180,1,1150218,2368940,1214504,141,14,276.0,76.0
300,539,180,2,1150218,2386636,1213576,142,14,276.0,76.0
300,539,180,3,1150218,2371844,1214684,142,14,276.0,76.0
300,539,210,0,988142,2370904,1208524,160,50,276.0,76.0
300,539,210,1,988142,2379200,1208908,161,50,276.0,76.0
300,539,210,2,988142,2370868,1223180,160,53,276.0,76.0
300,539,210,3,988142,2372992,1215020,161,51,276.0,76.0
300,539,240,0,862663,2370836,1208540,175,78,276.0,76.0
300,539,240,1,862663,2378108,1208588,175,78,276.0,76.0
300,539,240,2,862663,2372316,1208624,175,79,276.0,76.0
300,539,240,3,862663,2370080,1215380,175,80,276.0,76.0
300,539,270,0,768167,2370908,1208576,186,100,276.0,76.0
300,539,270,1,768167,2364152,1211480,186,100,276.0,76.0
300,539,270,2,768167,2370896,1208928,186,100,276.0,76.0
300,539,270,3,768167,2378084,1214552,186,101,276.0,76.0
300,539,300,0,690131,2371808,1208560,195,118,276.0,76.0
300,539,300,1,690131,2364568,1208740,195,118,276.0,76.0
300,539,300,2,690131,2370856,1221080,195,120,276.0,76.0
300,539,300,3,690131,2379220,1216196,195,119,276.0,76.0
300,539,330,0,628298,2413672,1208540,204,132,276.0,76.0
300,539,330,1,628298,2364884,1208864,202,132,276.0,76.0
300,539,330,2,628298,2370860,1215212,202,133,276.0,76.0
300,539,330,3,628298,2370788,1215908,202,133,276.0,76.0
300,651,150,0,1151101,2395232,1212512,172,16,332.0,92.0
300,651,150,1,1151101,2390940,1221344,172,19,332.0,92.0
300,651,150,2,1151101,2381996,1219352,171,18,332.0,92.0
300,651,150,3,1151101,2389836,1212656,172,16,332.0,92.0
