,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
7,content\data\images\10H-15L\image_group_25_frame_2273.0.jpg,25,2229.0,2273.0,758,1159,4,0
8,content\data\images\10H-15L\image_group_25_frame_2275.0.jpg,25,2229.0,2275.0,756,1147,3,5
0,content\data\images\10H-15L\image_group_26_frame_2319.0.jpg,26,2283.0,2319.0,906,1157,6,4
1,content\data\images\10H-15L\image_group_26_frame_2320.0.jpg,26,2283.0,2320.0,754,1049,0,6
2,content\data\images\10H-15L\image_group_26_frame_2321.0.jpg,26,2283.0,2321.0,906,1157,7,3
3,content\data\images\10H-15L\image_group_26_frame_2322.0.jpg,26,2283.0,2322.0,755,933,3,7
4,content\data\images\10H-15L\image_group_26_frame_2323.0.jpg,26,2283.0,2323.0,906,1157,8,2
5,content\data\images\10H-15L\image_group_26_frame_2324.0.jpg,26,2283.0,2324.0,754,906,1,8
6,content\data\images\10H-15L\image_group_26_frame_2325.0.jpg,26,2283.0,2325.0,823,1157,5,1
7,content\data\images\10H-15L\image_group_26_frame_2327.0.jpg,26,2283.0,2327.0,762,1157,4,0
8,content\data\images\10H-15L\image_group_26_frame_2329.0.jpg,26,2283.0,2329.0,754,1153,2,5
0,content\data\images\10H-15L\image_group_27_frame_2374.0.jpg,27,2337.0,2374.0,756,1095,0,5
1,content\data\images\10H-15L\image_group_27_frame_2375.0.jpg,27,2337.0,2375.0,906,1159,7,4
2,content\data\images\10H-15L\image_group_27_frame_2376.0.jpg,27,2337.0,2376.0,756,993,1,6
3,content\data\images\10H-15L\image_group_27_frame_2377.0.jpg,27,2337.0,2377.0,906,1159,8,3
4,content\data\images\10H-15L\image_group_27_frame_2378.0.jpg,27,2337.0,2378.0,756,906,2,8
5,content\data\images\10H-15L\image_group_27_frame_2379.0.jpg,27,2337.0,2379.0,874,1159,6,2
6,content\data\images\10H-15L\image_group_27_frame_2380.0.jpg,27,2337.0,2380.0,756,906,3,7
7,content\data\images\10H-15L\image_group_27_frame_2381.0.jpg,27,2337.0,2381.0,790,1159,5,1
8,content\data\images\10H-15L\image_group_27_frame_2383.0.jpg,27,2337.0,2383.0,756,1159,4,0
0,content\data\images\10H-15L\image_group_28_frame_2622.0.jpg,28,2391.0,2622.0,756,1123,0,6
1,content\data\images\10H-15L\image_group_28_frame_2623.0.jpg,28,2391.0,2623.0,906,1159,6,5
2,content\data\images\10H-15L\image_group_28_frame_2624.0.jpg,28,2391.0,2624.0,756,1117,1,7
3,content\data\images\10H-15L\image_group_28_frame_2625.0.jpg,28,2391.0,2625.0,906,1159,7,4
4,content\data\images\10H-15L\image_group_28_frame_2626.0.jpg,28,2391.0,2626.0,756,1113,2,8
5,content\data\images\10H-15L\image_group_28_frame_2627.0.jpg,28,2391.0,2627.0,906,1159,8,3
6,content\data\images\10H-15L\image_group_28_frame_2628.0.jpg,28,2391.0,2628.0,756,1107,3,9
7,content\data\images\10H-15L\image_group_28_frame_2629.0.jpg,28,2391.0,2629.0,906,1159,9,2
8,content\data\images\10H-15L\image_group_28_frame_2630.0.jpg,28,2391.0,2630.0,756,1101,4,10
9,content\data\images\10H-15L\image_group_28_frame_2631.0.jpg,28,2391.0,2631.0,906,1159,10,1
10,content\data\images\10H-15L\image_group_28_frame_2632.0.jpg,28,2391.0,2632.0,756,1097,5,11
11,content\data\images\10H-15L\image_group_28_frame_2633.0.jpg,28,2391.0,2633.0,906,1159,11,0
0,content\data\images\10H-15L\image_group_29_frame_2676.0.jpg,29,2640.0,2676.0,756,1159,0,5
1,content\data\images\10H-15L\image_group_29_frame_2678.0.jpg,29,2640.0,2678.0,756,1159,1,4
2,content\data\images\10H-15L\image_group_29_frame_2680.0.jpg,29,2640.0,2680.0,756,1159,2,3
3,content\data\images\10H-15L\image_group_29_frame_2682.0.jpg,29,2640.0,2682.0,756,1159,3,2
4,content\data\images\10H-15L\image_group_29_frame_2684.0.jpg,29,2640.0,2684.0,756,1159,4,1
5,content\data\images\10H-15L\image_group_29_frame_2686.0.jpg,29,2640.0,2686.0,756,1159,5,0
0,content\data\images\10H-15L\image_group_30_frame_2729.0.jpg,30,2694.0,2729.0,805,919,6,11
1,content\data\images\10H-15L\image_group_30_frame_2730.0.jpg,30,2694.0,2730.0,905,1159,10,5
2,content\data\images\10H-15L\image_group_30_frame_2731.0.jpg,30,2694.0,2731.0,754,1075,0,6
3,content\data\images\10H-15L\image_group_30_frame_2732.0.jpg,30,2694.0,2732.0,904,1159,7,4
4,content\data\images\10H-15L\image_group_30_frame_2733.0.jpg,30,2694.0,2733.0,754,919,1,10
5,content\data\images\10H-15L\image_group_30_frame_2734.0.jpg,30,2694.0,2734.0,904,1159,8,3
6,content\data\images\10H-15L\image_group_30_frame_2735.0.jpg,30,2694.0,2735.0,754,919,2,9
7,content\data\images\10H-15L\image_group_30_frame_2736.0.jpg,30,2694.0,2736.0,904,1159,9,2
8,content\data\images\10H-15L\image_group_30_frame_2737.0.jpg,30,2694.0,2737.0,755,919,5,8
9,content\data\images\10H-15L\image_group_30_frame_2738.0.jpg,30,2694.0,2738.0,905,1159,11,1
10,content\data\images\10H-15L\image_group_30_frame_2739.0.jpg,30,2694.0,2739.0,754,919,3,7
11,content\data\images\10H-15L\image_group_30_frame_2740.0.jpg,30,2694.0,2740.0,905,1159,12,0
12,content\data\images\10H-15L\image_group_30_frame_2741.0.jpg,30,2694.0,2741.0,754,907,4,12
0,content\data\images\10H-15L\image_group_31_frame_2785.0.jpg,31,2747.0,2785.0,754,1159,0,4
1,content\data\images\10H-15L\image_group_31_frame_2787.0.jpg,31,2747.0,2787.0,754,1159,1,3
2,content\data\images\10H-15L\image_group_31_frame_2789.0.jpg,31,2747.0,2789.0,754,1159,2,2
3,content\data\images\10H-15L\image_group_31_frame_2791.0.jpg,31,2747.0,2791.0,754,1159,3,1
4,content\data\images\10H-15L\image_group_31_frame_2793.0.jpg,31,2747.0,2793.0,754,1159,4,0
5,content\data\images\10H-15L\image_group_31_frame_2795.0.jpg,31,2747.0,2795.0,754,1157,5,5
